DRAN,DRACT,IPONDI
13 ,19,22.0
14 ,14,86307.0
14 ,16,3.0
14 ,17,31.0
14 ,18,4.0
14 ,19,5.0
15 ,14,4.0
15 ,15,11673.0
15 ,16,3.0
15 ,19,25.0
16 ,14,4.0
16 ,15,2.0
16 ,16,31531.0
16 ,17,193.0
16 ,18,11.0
16 ,19,15.0
17 ,14,23.0
17 ,15,3.0
17 ,16,246.0
17 ,17,69692.0
17 ,18,12.0
17 ,19,13.0
18 ,14,8.0
18 ,15,1.0
18 ,16,13.0
18 ,17,31.0
18 ,18,43738.0
18 ,19,6.0
19 ,14,6.0
19 ,15,17.0
19 ,16,5.0
19 ,17,25.0
19 ,18,4.0
19 ,19,25755.0
21 ,14,23.0
21 ,15,6.0
21 ,16,4.0
21 ,17,11.0
21 ,18,11.0
21 ,19,3.0
22 ,14,36.0
22 ,17,20.0
22 ,18,2.0
23 ,15,5.0
23 ,16,7.0
23 ,17,13.0
23 ,18,10.0
23 ,19,18.0
24 ,14,1.0
24 ,15,1.0
24 ,16,45.0
24 ,17,52.0
24 ,18,2.0
24 ,19,72.0
25 ,14,9.0
25 ,16,5.0
25 ,17,6.0
25 ,18,13.0
25 ,19,6.0
26 ,14,5.0
26 ,15,2.0
26 ,16,5.0
26 ,17,5.0
26 ,18,1.0
27 ,14,258.0
27 ,15,6.0
27 ,16,3.0
27 ,17,17.0
27 ,18,8.0
27 ,19,2.0
28 ,14,40.0
28 ,16,3.0
28 ,17,39.0
28 ,18,18.0
28 ,19,1.0
29 ,14,73.0
29 ,15,2.0
29 ,16,14.0
29 ,17,54.0
29 ,18,14.0
2A ,14,1.0
2A ,16,6.0
2A ,17,11.0
2B ,14,6.0
2B ,18,1.0
30 ,14,8.0
30 ,15,4.0
30 ,16,19.0
30 ,17,18.0
30 ,18,21.0
30 ,19,5.0
31 ,14,31.0
31 ,15,11.0
31 ,16,21.0
31 ,17,68.0
31 ,18,32.0
31 ,19,42.0
32 ,14,1.0
32 ,15,2.0
32 ,17,3.0
32 ,19,2.0
33 ,14,37.0
33 ,15,15.0
33 ,16,156.0
33 ,17,275.0
33 ,18,29.0
33 ,19,44.0
34 ,14,16.0
34 ,15,16.0
34 ,16,21.0
34 ,17,26.0
34 ,18,11.0
34 ,19,6.0
35 ,14,175.0
35 ,16,12.0
35 ,17,74.0
35 ,18,18.0
35 ,19,6.0
36 ,14,3.0
36 ,15,4.0
36 ,16,5.0
36 ,17,27.0
36 ,18,72.0
36 ,19,9.0
37 ,14,28.0
37 ,16,24.0
37 ,17,78.0
37 ,18,91.0
37 ,19,11.0
38 ,14,7.0
38 ,15,5.0
38 ,16,5.0
38 ,17,15.0
38 ,18,10.0
38 ,19,8.0
39 ,14,2.0
39 ,17,1.0
39 ,18,2.0
40 ,14,5.0
40 ,15,3.0
40 ,16,10.0
40 ,17,24.0
40 ,18,4.0
40 ,19,6.0
41 ,14,14.0
41 ,15,1.0
41 ,16,7.0
41 ,17,37.0
41 ,18,103.0
41 ,19,1.0
42 ,14,8.0
42 ,15,17.0
42 ,17,11.0
42 ,18,14.0
42 ,19,3.0
43 ,15,14.0
43 ,17,8.0
43 ,18,5.0
43 ,19,4.0
44 ,14,75.0
44 ,15,4.0
44 ,16,24.0
44 ,17,160.0
44 ,18,17.0
44 ,19,3.0
45 ,14,17.0
45 ,15,12.0
45 ,16,15.0
45 ,17,64.0
45 ,18,113.0
45 ,19,18.0
46 ,14,3.0
