DRAN,DRACT,IPONDI,insee_dep_x,lat_dest,lng_dest,insee_dep_y,lat_src,lng_src
13,07,63.37590069170557,07,44.751719837620335,4.4245805188405125,13,43.54610365450018,5.086065112941293
14,02,21.68007367899715,02,49.559813275991445,3.558087277023658,14,49.099912509122746,-0.3619403935208182
14,03,5.0000186510443,03,46.39381563364784,3.18813351109937,14,49.099912509122746,-0.3619403935208182
14,04,2.89872482061687,04,44.105953173469146,6.243551214366354,14,49.099912509122746,-0.3619403935208182
14,05,10.0,05,44.663706822016515,6.263200801496509,14,49.099912509122746,-0.3619403935208182
14,06,78.33769715305868,06,43.9380214983474,7.116144773756707,14,49.099912509122746,-0.3619403935208182
14,07,13.14361418605437,07,44.751719837620335,4.4245805188405125,14,49.099912509122746,-0.3619403935208182
15,01,2.56944294975262,01,46.099628623191094,5.348923142711287,15,45.0511176962987,2.6685349438249353
15,02,2.80103794753063,02,49.559813275991445,3.558087277023658,15,45.0511176962987,2.6685349438249353
15,03,37.749386669350116,03,46.39381563364784,3.18813351109937,15,45.0511176962987,2.6685349438249353
15,05,12.12403153224324,05,44.663706822016515,6.263200801496509,15,45.0511176962987,2.6685349438249353
15,06,1.05644377490705,06,43.9380214983474,7.116144773756707,15,45.0511176962987,2.6685349438249353
16,01,9.14664374776512,01,46.099628623191094,5.348923142711287,16,45.718180687971426,0.20200927477693706
16,02,5.70283501952488,02,49.559813275991445,3.558087277023658,16,45.718180687971426,0.20200927477693706
16,03,24.7844237685828,03,46.39381563364784,3.18813351109937,16,45.718180687971426,0.20200927477693706
16,06,35.896985442819286,06,43.9380214983474,7.116144773756707,16,45.718180687971426,0.20200927477693706
16,07,13.49575907991315,07,44.751719837620335,4.4245805188405125,16,45.718180687971426,0.20200927477693706
17,01,42.20146872348595,01,46.099628623191094,5.348923142711287,17,45.76432080274752,-0.6523882359370949
17,02,6.2494436349455995,02,49.559813275991445,3.558087277023658,17,45.76432080274752,-0.6523882359370949
17,03,35.880795882773135,03,46.39381563364784,3.18813351109937,17,45.76432080274752,-0.6523882359370949
17,04,12.67255178127192,04,44.105953173469146,6.243551214366354,17,45.76432080274752,-0.6523882359370949
17,05,1.993669514172412,05,44.663706822016515,6.263200801496509,17,45.76432080274752,-0.6523882359370949
17,06,123.3853278697812,06,43.9380214983474,7.116144773756707,17,45.76432080274752,-0.6523882359370949
17,07,8.66534190767026,07,44.751719837620335,4.4245805188405125,17,45.76432080274752,-0.6523882359370949
18,01,15.1039519749467,01,46.099628623191094,5.348923142711287,18,47.064824704721374,2.49103889729347
18,02,26.05513098319895,02,49.559813275991445,3.558087277023658,18,47.064824704721374,2.49103889729347
18,03,99.25882745407617,03,46.39381563364784,3.18813351109937,18,47.064824704721374,2.49103889729347
18,04,5.05118300262948,04,44.105953173469146,6.243551214366354,18,47.064824704721374,2.49103889729347
18,05,3.91807775548644,05,44.663706822016515,6.263200801496509,18,47.064824704721374,2.49103889729347
18,06,49.69444928289515,06,43.9380214983474,7.116144773756707,18,47.064824704721374,2.49103889729347
19,01,5.08521464325765,01,46.099628623191094,5.348923142711287,19,45.3570756694944,1.876636782366828
19,02,5.04546920636216,02,49.559813275991445,3.558087277023658,19,45.3570756694944,1.876636782366828
19,03,18.91039346487571,03,46.39381563364784,3.18813351109937,19,45.3570756694944,1.876636782366828
19,04,20.00001430955916,04,44.105953173469146,6.243551214366354,19,45.3570756694944,1.876636782366828
19,06,23.11046510757314,06,43.9380214983474,7.116144773756707,19,45.3570756694944,1.876636782366828
21,01,69.22745045266194,01,46.099628623191094,5.348923142711287,21,47.425268758651,4.773507642127765
21,02,14.076074050194373,02,49.559813275991445,3.558087277023658,21,47.425268758651,4.773507642127765
21,03,27.13733466799527,03,46.39381563364784,3.18813351109937,21,47.425268758651,4.773507642127765
21,05,17.72365435446462,05,44.663706822016515,6.263200801496509,21,47.425268758651,4.773507642127765
21,06,94.97181728461362,06,43.9380214983474,7.116144773756707,21,47.425268758651,4.773507642127765
21,07,13.817616780378504,07,44.751719837620335,4.4245805188405125,21,47.425268758651,4.773507642127765
22,01,12.806812496608353,01,46.099628623191094,5.348923142711287,22,48.440175687241464,-2.863484717020666
22,02,6.984955122091912,02,49.559813275991445,3.558087277023658,22,48.440175687241464,-2.863484717020666
22,03,28.29974567751249,03,46.39381563364784,3.18813351109937,22,48.440175687241464,-2.863484717020666
22,05,9.99983252410648,05,44.663706822016515,6.263200801496509,22,48.440175687241464,-2.863484717020666
22,06,66.58696861721847,06,43.9380214983474,7.116144773756707,22,48.440175687241464,-2.863484717020666
23,01,21.115718963565428,01,46.099628623191094,5.348923142711287,23,46.09036006042322,2.0188404178551593
23,02,5.85414677253938,02,49.559813275991445,3.558087277023658,23,46.09036006042322,2.0188404178551593
